0.答案 190/63
1552.答案 7/2
1553.答案 72/7
1554.答案 67/7
1555.答案 7/5
1556.答案 35/24
1557.答案 8/21
1558.答案 221/18
1559.答案 1/6
1560.答案 8/3
1561.答案 2/5
1562.答案 27/28
1563.答案 7/15
1564.答案 113/252
1565.答案 22
1566.答案 343/27
1567.答案 67/12
1568.答案 7/80
1569.答案 89/6
1570.答案 23/18
1571.答案 29/20
1572.答案 427/120
1573.答案 59/12
1574.答案 181/21
1575.答案 12
1576.答案 76
1577.答案 32/15
1578.答案 83/16
1579.答案 1/4
1580.答案 4
1581.答案 31/10
1582.答案 141/70
1583.答案 5/28
1584.答案 6
1585.答案 99/4
1586.答案 23/2
1587.答案 2/35
1588.答案 57/10
1589.答案 45/8
1590.答案 37/7
1591.答案 277/63
1592.答案 43/3
1593.答案 29/10
1594.答案 29/6
1595.答案 74/15
1596.答案 122/21
1597.答案 17/5
1598.答案 110/9
1599.答案 116/63
1600.答案 431/40
1601.答案 9/2
1602.答案 14/3
1603.答案 19/7
1604.答案 400/9
1605.答案 25/6
1606.答案 47/16
1607.答案 2
1608.答案 128/27
1609.答案 3/2
1610.答案 65/6
1611.答案 73/42
1612.答案 353/72
1613.答案 115/36
1614.答案 45/2
1615.答案 7
1616.答案 61/4
1617.答案 13/6
1618.答案 19/3
1619.答案 15
1620.答案 273/8
1621.答案 23/72
1622.答案 77/6
1623.答案 28
1624.答案 31/8
1625.答案 14
1626.答案 281/252
1627.答案 74/7
1628.答案 79/7
1629.答案 7/2
1630.答案 3/5
1631.答案 7/36
1632.答案 46/5
1633.答案 81/16
1634.答案 56/5
1635.答案 6/5
1636.答案 1/8
1637.答案 59/24
1638.答案 127/28
1639.答案 11/2
1640.答案 180
1641.答案 230/9
1642.答案 95/6
1643.答案 5
1644.答案 40/63
1645.答案 5
1646.答案 1/15
1647.答案 3/28
1648.答案 50/9
1649.答案 265/27
1650.答案 68/21
1651.答案 1
1652.答案 11
1653.答案 69/28
1654.答案 7/27
1655.答案 124/15
1656.答案 3
1657.答案 134/21
1658.答案 27/5
1659.答案 33/4
1660.答案 137/18
1661.答案 41/3
1662.答案 13/7
1663.答案 243/245
1664.答案 11
1665.答案 29/2
1666.答案 43/2
1667.答案 239/27
1668.答案 130/21
1669.答案 31/40
1670.答案 26/3
1671.答案 7/6
1672.答案 27/7
1673.答案 459/280
1674.答案 209/6
1675.答案 8/315
1676.答案 15/2
1677.答案 28/5
1678.答案 20/3
1679.答案 7/12
1680.答案 41/12
1681.答案 26/7
1682.答案 35/2
1683.答案 19/2
1684.答案 1/2
1685.答案 35/32
1686.答案 432
1687.答案 1/8
1688.答案 15/7
1689.答案 41/7
1690.答案 8
1691.答案 2/9
1692.答案 9/70
1693.答案 157/72
1694.答案 277/45
1695.答案 1157/140
1696.答案 5/12
1697.答案 77/5
1698.答案 103/84
1699.答案 1/9
1700.答案 50
1701.答案 17/4
1702.答案 34/9
1703.答案 5/64
1704.答案 46/9
1705.答案 271/160
1706.答案 1/42
1707.答案 347/8
1708.答案 61/20
1709.答案 9/40
1710.答案 30/7
1711.答案 23/6
1712.答案 1/20
1713.答案 22
1714.答案 8
1715.答案 8/3
1716.答案 45
1717.答案 4/63
1718.答案 14/3
1719.答案 3/16
1720.答案 425/144
1721.答案 5/2
1722.答案 267/8
1723.答案 79/5
1724.答案 48/5
1725.答案 19
1726.答案 1
1727.答案 1/3
1728.答案 323/6
1729.答案 4/3
1730.答案 159/140
1731.答案 25/9
1732.答案 10/7
1733.答案 1431/200
1734.答案 1177/240
1735.答案 5/72
1736.答案 1/3
1737.答案 100/9
1738.答案 25/4
1739.答案 233/8
1740.答案 506/7
1741.答案 81/196
1742.答案 31/3
1743.答案 61/3
1744.答案 6/7
1745.答案 31/12
1746.答案 33/4
1747.答案 8/5
1748.答案 8/49
1749.答案 25/3
1750.答案 111/20
1751.答案 1/10
1752.答案 15
1753.答案 56
1754.答案 7/2
1755.答案 9/2
1756.答案 2/5
1757.答案 31/15
1758.答案 63/4
1759.答案 24
1760.答案 25/4
1761.答案 256/15
1762.答案 1/81
1763.答案 21/10
1764.答案 73/9
1765.答案 79/28
1766.答案 96/5
1767.答案 103/18
1768.答案 121/12
1769.答案 32/9
1770.答案 74/3
1771.答案 4
1772.答案 5/32
1773.答案 30
1774.答案 48
1775.答案 253/56
1776.答案 34/9
1777.答案 11
1778.答案 4
1779.答案 256/135
1780.答案 14/5
1781.答案 11/9
1782.答案 35/12
1783.答案 196/9
1784.答案 4
1785.答案 1/12
1786.答案 23/2
1787.答案 32/9
1788.答案 9/2
1789.答案 44/21
1790.答案 28/81
1791.答案 61/8
1792.答案 27/20
1793.答案 13/5
1794.答案 17/14
1795.答案 1/2
1796.答案 13
1797.答案 359/63
1798.答案 10
1799.答案 69/7
1800.答案 12
1801.答案 39/8
1802.答案 25/3
1803.答案 118/35
1804.答案 6
1805.答案 41/16
1806.答案 15/14
1807.答案 211/7
1808.答案 2/3
1809.答案 35/4
1810.答案 3/40
1811.答案 5/2
1812.答案 27/2
1813.答案 7/2
1814.答案 16/7
1815.答案 9/2
1816.答案 16/3
1817.答案 3
1818.答案 89/8
1819.答案 309/28
1820.答案 427/45
1821.答案 359/21
1822.答案 149/3
1823.答案 1/8
1824.答案 85/12
1825.答案 75/7
1826.答案 83/20
1827.答案 1
1828.答案 19/2
1829.答案 21/10
1830.答案 28/9
1831.答案 28/9
1832.答案 37/6
1833.答案 667/105
1834.答案 5/18
1835.答案 25/12
1836.答案 13/7
1837.答案 1
1838.答案 9/2
1839.答案 19/2
1840.答案 23/8
1841.答案 694/9
1842.答案 167/105
1843.答案 369/40
1844.答案 21/2
1845.答案 27/5
1846.答案 5/9
1847.答案 6/5
1848.答案 57/4
1849.答案 85/18
1850.答案 37/15
1851.答案 95/36
1852.答案 17/40
1853.答案 302/35
1854.答案 161/18
1855.答案 7
1856.答案 37/3
1857.答案 3/2
1858.答案 11
1859.答案 47/12
1860.答案 8/7
1861.答案 115/6
1862.答案 20
1863.答案 35/3
1864.答案 21/4
1865.答案 143/8
1866.答案 11/3
1867.答案 47/7
1868.答案 1
1869.答案 15/4
1870.答案 88/25
1871.答案 80/21
1872.答案 73/36
1873.答案 33/2
1874.答案 89/18
1875.答案 32/5
1876.答案 47/20
1877.答案 160
1878.答案 30
1879.答案 41/3
1880.答案 425/72
1881.答案 232/63
1882.答案 53/5
1883.答案 137/36
1884.答案 43/7
1885.答案 713/72
1886.答案 10
1887.答案 2
1888.答案 10/3
1889.答案 5/2
1890.答案 218/27
1891.答案 79/7
1892.答案 93/10
1893.答案 34
1894.答案 86/9
1895.答案 59/4
1896.答案 2/49
1897.答案 17/6
1898.答案 5/2
1899.答案 100/21
1900.答案 68/7
1901.答案 765/112
1902.答案 33/2
1903.答案 73/7
1904.答案 13/3
1905.答案 486
1906.答案 117/28
1907.答案 191/21
1908.答案 324/25
1909.答案 3/7
1910.答案 141/28
1911.答案 32/35
1912.答案 113/28
1913.答案 1
1914.答案 20/3
1915.答案 103/7
1916.答案 256/45
1917.答案 28/5
1918.答案 67/4
1919.答案 58/63
1920.答案 655/81
1921.答案 18/7
1922.答案 5/2
1923.答案 4
1924.答案 113/7
1925.答案 69/8
1926.答案 89/30
1927.答案 37/5
1928.答案 18
1929.答案 8
1930.答案 13/8
1931.答案 20/7
1932.答案 29/30
1933.答案 13/8
1934.答案 18
1935.答案 47/6
1936.答案 7/3
1937.答案 9
1938.答案 56/15
1939.答案 7
1940.答案 151/30
1941.答案 8
1942.答案 39/5
1943.答案 73
1944.答案 16/5
1945.答案 18
1946.答案 1/120
1947.答案 7/4
1948.答案 16/15
1949.答案 11
1950.答案 197/63
1951.答案 219/20
1952.答案 93/8
1953.答案 9/2
1954.答案 17/6
1955.答案 473/48
1956.答案 94
1957.答案 70
1958.答案 4/45
1959.答案 28/15
1960.答案 35/9
1961.答案 49/5
1962.答案 541/3
1963.答案 49/40
1964.答案 37/60
1965.答案 61/4
1966.答案 129/20
1967.答案 52
1968.答案 163/84
1969.答案 7/9
1970.答案 83/7
1971.答案 4/3
1972.答案 12/5
1973.答案 3
1974.答案 92/9
1975.答案 25/3
1976.答案 36
1977.答案 4
1978.答案 128/5
1979.答案 16/3
1980.答案 122/45
1981.答案 168/5
1982.答案 7
1983.答案 6
1984.答案 61/6
1985.答案 1/63
1986.答案 13/24
1987.答案 92/21
1988.答案 377/140
1989.答案 71/35
1990.答案 33/4
1991.答案 17/4
1992.答案 9/28
1993.答案 143/3
1994.答案 16/7
1995.答案 575/84
1996.答案 459/112
1997.答案 23/10
1998.答案 155/72
1999.答案 14
2000.答案 433/180
2001.答案 126/25
2002.答案 25
2003.答案 15/1568
2004.答案 29/7
2005.答案 55/49
2006.答案 13/8
2007.答案 388/63
2008.答案 57/16
2009.答案 19/9
2010.答案 581/5
2011.答案 24/7
2012.答案 1/5
2013.答案 14/9
2014.答案 15
2015.答案 6/5
2016.答案 16/7
2017.答案 35/8
2018.答案 406/45
2019.答案 7/18
2020.答案 93/224
2021.答案 239/90
2022.答案 45/8
2023.答案 239/36
2024.答案 76/9
2025.答案 19/2
2026.答案 9
2027.答案 32/9
2028.答案 51/4
2029.答案 19/18
2030.答案 19/4
2031.答案 45/16
2032.答案 1/32
2033.答案 7/3
2034.答案 6
2035.答案 187/14
2036.答案 3/32
2037.答案 121/14
2038.答案 61/36
2039.答案 43/8
2040.答案 7
2041.答案 31/7
2042.答案 45/16
2043.答案 4/3
2044.答案 26/3
2045.答案 89/40
2046.答案 77/6
2047.答案 125/18
2048.答案 28/9
2049.答案 43/4
2050.答案 51/25
2051.答案 25/336
2052.答案 122/5
2053.答案 8/25
2054.答案 7
2055.答案 2
2056.答案 68/3
2057.答案 1
2058.答案 31
2059.答案 73/36
2060.答案 29/4
2061.答案 46
2062.答案 194/3
2063.答案 560
2064.答案 8/9
2065.答案 24
2066.答案 67/6
2067.答案 18/5
2068.答案 44/9
2069.答案 11/3
2070.答案 145/24
2071.答案 379/192
2072.答案 19/18
2073.答案 67/24
2074.答案 4/3
2075.答案 37/36
2076.答案 688/81
2077.答案 2
2078.答案 13/6
2079.答案 539/24
2080.答案 261/56
2081.答案 11/2
2082.答案 55/7
2083.答案 69/8
2084.答案 11/9
2085.答案 44/147
2086.答案 133/18
2087.答案 13/4
2088.答案 13
2089.答案 405/14
2090.答案 262/15
2091.答案 97/42
2092.答案 9/20
2093.答案 76/21
2094.答案 4/9
2095.答案 10
2096.答案 49/6
2097.答案 67/8
2098.答案 1/216
2099.答案 10/81
2100.答案 47/4
2101.答案 10/3
2102.答案 8/15
2103.答案 106/21
2104.答案 19/14
2105.答案 1297/162
2106.答案 72/35
2107.答案 17/3
2108.答案 137/15
2109.答案 35/6
2110.答案 34/3
2111.答案 13/3
2112.答案 23/56
2113.答案 7/16
2114.答案 405/4
2115.答案 11/4
2116.答案 151/4
2117.答案 149/20
2118.答案 20
2119.答案 3/2
2120.答案 13/6
2121.答案 313/120
2122.答案 88/7
2123.答案 26/7
2124.答案 24
2125.答案 11/2
2126.答案 25/2
2127.答案 210
2128.答案 137/15
2129.答案 21/20
2130.答案 5
2131.答案 63/10
2132.答案 32/3
2133.答案 7/3
2134.答案 43/28
2135.答案 59/9
2136.答案 423/140
2137.答案 2
2138.答案 1/14
2139.答案 24
2140.答案 35/4
2141.答案 7/12
2142.答案 9
2143.答案 43/6
2144.答案 19/48
2145.答案 31/6
2146.答案 54/7
2147.答案 17/6
2148.答案 7/6
2149.答案 9/35
2150.答案 251/27
2151.答案 49/60
2152.答案 27/5
2153.答案 7/9
2154.答案 91/10
2155.答案 418/9
2156.答案 207/14
2157.答案 2
2158.答案 29/8
2159.答案 56/3
2160.答案 1359/350
2161.答案 2/9
2162.答案 124/63
2163.答案 1/2
2164.答案 131/36
2165.答案 59/5
2166.答案 338/35
2167.答案 134/25
2168.答案 1/5
2169.答案 90/7
2170.答案 19
2171.答案 0
2172.答案 221/45
2173.答案 152
2174.答案 38/3
2175.答案 1327/189
2176.答案 28/3
2177.答案 36
2178.答案 82
2179.答案 31/15
2180.答案 556/63
2181.答案 1/8
2182.答案 111/56
2183.答案 9/5
2184.答案 4/5
2185.答案 13/5
2186.答案 1/2
2187.答案 362/5
2188.答案 64/21
2189.答案 2
2190.答案 35/3
2191.答案 4/21
2192.答案 3/2
2193.答案 187/27
2194.答案 30
2195.答案 55/9
2196.答案 11/6
2197.答案 35
2198.答案 13/2
2199.答案 29/2
2200.答案 265/64
2201.答案 11/4
2202.答案 112/3
2203.答案 237/56
2204.答案 114/5
2205.答案 74/7
2206.答案 59/2
2207.答案 19/2
2208.答案 8/3
2209.答案 163/40
2210.答案 21/4
2211.答案 9/4
2212.答案 3/2
2213.答案 213/280
2214.答案 7/2
2215.答案 221/75
2216.答案 13/9
2217.答案 53/9
2218.答案 5/3
2219.答案 41/4
2220.答案 183/8
2221.答案 5/16
2222.答案 553/8
2223.答案 1/6
2224.答案 19/2
2225.答案 90
2226.答案 458/35
2227.答案 172/105
2228.答案 1/108
2229.答案 4
2230.答案 0
2231.答案 45/4
2232.答案 103/14
2233.答案 12
2234.答案 13/16
2235.答案 56/9
2236.答案 8/15
2237.答案 2
2238.答案 109/18
2239.答案 40/9
2240.答案 4/9
2241.答案 24/7
2242.答案 53/30
2243.答案 2/3
2244.答案 42/5
2245.答案 19/3
2246.答案 61/3
2247.答案 107/2
2248.答案 16/7
2249.答案 43
2250.答案 10/3
2251.答案 71/21
2252.答案 11/4
2253.答案 209/40
2254.答案 64/5
2255.答案 27/28
2256.答案 9/2
2257.答案 22/3
2258.答案 9
2259.答案 33/10
2260.答案 133/9
2261.答案 58/3
2262.答案 31/3
2263.答案 31/12
2264.答案 95/14
2265.答案 35
2266.答案 257/24
2267.答案 12/35
2268.答案 14/3
2269.答案 17/2
2270.答案 40/9
2271.答案 51/4
2272.答案 196
2273.答案 313/14
2274.答案 39/7
2275.答案 7
2276.答案 13
2277.答案 167/280
2278.答案 8/189
2279.答案 18/5
2280.答案 110/3
2281.答案 43/3
2282.答案 47
2283.答案 59/7
2284.答案 8
2285.答案 67/6
2286.答案 3
2287.答案 128/5
2288.答案 28/5
2289.答案 589/270
2290.答案 47/30
2291.答案 89/14
2292.答案 55/6
2293.答案 3/56
2294.答案 63/2
2295.答案 17/3
2296.答案 13
2297.答案 323/36
2298.答案 25/7
2299.答案 127/3
2300.答案 1
2301.答案 263/24
2302.答案 10/3
2303.答案 163/7
2304.答案 5
2305.答案 25/81
2306.答案 1303/28
2307.答案 625/24
2308.答案 1/4
2309.答案 5/4
2310.答案 32/15
2311.答案 31/15
2312.答案 79/18
2313.答案 25/3
2314.答案 81/2
2315.答案 11/8
2316.答案 162/5
2317.答案 25/24
2318.答案 408/35
2319.答案 121/20
2320.答案 49/24
2321.答案 25/48
2322.答案 23/4
2323.答案 81/28
2324.答案 22/3
2325.答案 1/12
2326.答案 407/35
2327.答案 17/2
2328.答案 4/3
2329.答案 137/7
2330.答案 56
2331.答案 97/36
2332.答案 7
2333.答案 23/5
2334.答案 20/63
2335.答案 367/56
2336.答案 17/4
2337.答案 5
2338.答案 65/14
2339.答案 145/8
2340.答案 2
2341.答案 69/4
2342.答案 15
2343.答案 116/45
2344.答案 184/27
2345.答案 7/12
2346.答案 51/14
2347.答案 23/3
2348.答案 293/42
2349.答案 12
2350.答案 713/63
2351.答案 440/63
2352.答案 28/3
2353.答案 5
2354.答案 2/3
2355.答案 49/5
2356.答案 15/4
2357.答案 22/9
2358.答案 4
2359.答案 7/6
2360.答案 63/8
2361.答案 331/30
2362.答案 79/30
2363.答案 6
2364.答案 27/25
2365.答案 12
2366.答案 133/20
2367.答案 11
2368.答案 15/8
2369.答案 36
2370.答案 31/14
2371.答案 1008
2372.答案 269/72
2373.答案 19/2
2374.答案 34/5
2375.答案 20/9
2376.答案 15
2377.答案 49/320
2378.答案 44/7
2379.答案 11/6
2380.答案 59/42
2381.答案 83/4
2382.答案 17/7
2383.答案 103/16
2384.答案 73/162
2385.答案 5/12
2386.答案 10/7
2387.答案 31/7
2388.答案 100
2389.答案 32/5
2390.答案 111/2
2391.答案 5/6
2392.答案 5
2393.答案 81/32
2394.答案 16
2395.答案 96/5
2396.答案 2/3
2397.答案 2/3
2398.答案 35
2399.答案 25/3
2400.答案 22/3
2401.答案 4/5
2402.答案 6
2403.答案 7/2
2404.答案 22/15
2405.答案 7
2406.答案 108
2407.答案 338/63
2408.答案 121/8
2409.答案 311/56
2410.答案 1/5
2411.答案 8/3
2412.答案 11/4
2413.答案 124/9
2414.答案 101/84
2415.答案 192
2416.答案 227/40
2417.答案 14
2418.答案 655/72
2419.答案 177/35
2420.答案 15
2421.答案 6/5
2422.答案 581/12
2423.答案 179/5
2424.答案 2
2425.答案 5/2
2426.答案 44/3
2427.答案 16/21
2428.答案 39/8
2429.答案 191/45
2430.答案 113/6
2431.答案 373/735
2432.答案 135/16
2433.答案 24/5
2434.答案 81/2
2435.答案 5
2436.答案 121/25
2437.答案 29/48
2438.答案 6
2439.答案 431/600
2440.答案 71/21
2441.答案 67/6
2442.答案 8/3
2443.答案 93/10
2444.答案 145/18
2445.答案 5/6
2446.答案 103/7
2447.答案 40/63
2448.答案 59/12
2449.答案 9
2450.答案 21/4
2451.答案 85/28
2452.答案 49/16
2453.答案 18
2454.答案 3
2455.答案 61/4
2456.答案 22/3
2457.答案 1/35
2458.答案 13/14
2459.答案 6
2460.答案 67/35
2461.答案 425/7
2462.答案 38/9
2463.答案 97/32
2464.答案 70/9
2465.答案 156/245
2466.答案 79/14
2467.答案 37/4
2468.答案 13/2
2469.答案 16
2470.答案 1/21
2471.答案 143/70
2472.答案 107/8
2473.答案 1/2
2474.答案 77/5
2475.答案 56/9
2476.答案 47/9
2477.答案 1/3
2478.答案 10/9
2479.答案 19/2
2480.答案 144
2481.答案 17/6
2482.答案 1
2483.答案 39/25
2484.答案 233/56
2485.答案 28
2486.答案 21/2
2487.答案 17/3
2488.答案 11
2489.答案 121/18
2490.答案 14
2491.答案 63
2492.答案 37/3
2493.答案 14/9
2494.答案 41
2495.答案 36
2496.答案 16
2497.答案 53/7
2498.答案 47/3
2499.答案 23/10
2500.答案 13
2501.答案 71/36
2502.答案 145/14
2503.答案 479/288
2504.答案 9/2
2505.答案 15
2506.答案 15
2507.答案 20/21
2508.答案 7
2509.答案 73/7
2510.答案 759/2
2511.答案 66
2512.答案 105
2513.答案 67/6
2514.答案 292/35
2515.答案 38/3
2516.答案 144
2517.答案 45/2
2518.答案 31/2
2519.答案 30
2520.答案 199/9
2521.答案 6
2522.答案 39/10
2523.答案 54
2524.答案 27/64
2525.答案 251/15
2526.答案 182/5
2527.答案 9/5
2528.答案 407/18
2529.答案 79/9
2530.答案 169/36
2531.答案 32/5
2532.答案 43/8
2533.答案 157/28
2534.答案 92/9
2535.答案 91/144
2536.答案 5/3
2537.答案 61
2538.答案 716/45
2539.答案 3/7
2540.答案 49/2
2541.答案 43/27
2542.答案 2/3
2543.答案 128/9
2544.答案 3/2
2545.答案 85/28
2546.答案 17/2
2547.答案 11/4
2548.答案 3
2549.答案 71/7
2550.答案 10/21
2551.答案 15/2
2552.答案 195/7
2553.答案 529/63
2554.答案 169/5
2555.答案 167/72
2556.答案 56/15
2557.答案 17/3
2558.答案 76
2559.答案 100/7
2560.答案 18/7
2561.答案 165/2
2562.答案 59/10
2563.答案 16/9
2564.答案 379/8
2565.答案 7/3
2566.答案 149/8
2567.答案 703/168
2568.答案 29/63
2569.答案 39/8
2570.答案 13
2571.答案 94/21
2572.答案 25/9
2573.答案 9/7
2574.答案 72
2575.答案 1/2
2576.答案 7
2577.答案 75/8
2578.答案 14/243
2579.答案 48/7
2580.答案 353/72
2581.答案 28
2582.答案 28/9
2583.答案 7/24
2584.答案 45/2
2585.答案 72
2586.答案 19
2587.答案 6
2588.答案 137/36
2589.答案 56/3
2590.答案 142/7
2591.答案 6
2592.答案 38/15
2593.答案 25/4
2594.答案 16/15
2595.答案 13/8
2596.答案 33
2597.答案 22/3
2598.答案 133/6
2599.答案 39/64
2600.答案 12
2601.答案 104/7
2602.答案 345
2603.答案 47/12
2604.答案 71/5
2605.答案 23/5
2606.答案 29/42
2607.答案 24/5
2608.答案 10
2609.答案 274/63
2610.答案 629/288
2611.答案 8/3
2612.答案 7/2
2613.答案 39/4
2614.答案 155/98
2615.答案 1/8
2616.答案 58/3
2617.答案 3/7
2618.答案 45
2619.答案 19/2
2620.答案 127/35
2621.答案 32/7
2622.答案 7/2
2623.答案 498/7
2624.答案 21/10
2625.答案 69/8
2626.答案 7/12
2627.答案 61/21
2628.答案 73/8
2629.答案 19/8
2630.答案 134/21
2631.答案 8/3
2632.答案 1/36
2633.答案 28/3
2634.答案 137/45
2635.答案 17/7
2636.答案 63/8
2637.答案 10
2638.答案 8/9
2639.答案 37
2640.答案 173/14
2641.答案 31/18
2642.答案 10
2643.答案 153/35
2644.答案 54
2645.答案 19/4
2646.答案 103/6
2647.答案 26/63
2648.答案 19/6
2649.答案 3/4
2650.答案 309/4
2651.答案 37
2652.答案 313/30
2653.答案 91/108
2654.答案 49/6
2655.答案 141/4
2656.答案 10
2657.答案 147/8
2658.答案 66/35
2659.答案 7/10
2660.答案 100/7
2661.答案 275/28
2662.答案 3
2663.答案 7/2
2664.答案 252
2665.答案 33/4
2666.答案 7/4
2667.答案 6
2668.答案 7/12
2669.答案 86/7
2670.答案 99/20
2671.答案 3/5
2672.答案 9/7
2673.答案 61/42
2674.答案 19/10
2675.答案 1
2676.答案 2/5
2677.答案 63/10
2678.答案 21/8
2679.答案 7/4
2680.答案 44/7
2681.答案 17/4
2682.答案 35/8
2683.答案 11/2
2684.答案 72/5
2685.答案 75/8
2686.答案 16/3
2687.答案 4/3
2688.答案 62/7
2689.答案 106/9
2690.答案 3/10
2691.答案 41/4
2692.答案 76/5
2693.答案 2/3
2694.答案 10
2695.答案 224/5
2696.答案 1297/18
2697.答案 20
2698.答案 43/7
2699.答案 27/10
2700.答案 73/8
2701.答案 17/2
2702.答案 3
2703.答案 9
2704.答案 43/5
2705.答案 29/4
2706.答案 31/9
2707.答案 548/45
2708.答案 23/4
2709.答案 7/2
2710.答案 5/36
2711.答案 20/9
2712.答案 32
2713.答案 40/441
2714.答案 35/24
2715.答案 13/9
2716.答案 164/9
2717.答案 243/7
2718.答案 221/45
2719.答案 12/5
2720.答案 37/21
2721.答案 283/42
2722.答案 504/25
2723.答案 72/5
2724.答案 36/5
2725.答案 89/10
2726.答案 11
2727.答案 23/18
2728.答案 5
2729.答案 417/4
2730.答案 11/21
2731.答案 6/35
2732.答案 1/3
2733.答案 48/5
2734.答案 29/3
2735.答案 6/7
2736.答案 6/5
2737.答案 27
2738.答案 1/6
2739.答案 3/8
2740.答案 46/5
2741.答案 2/15
2742.答案 29/4
2743.答案 19/5
2744.答案 3/7
2745.答案 100
2746.答案 29/28
2747.答案 1/7
2748.答案 5/6
2749.答案 16
2750.答案 47/6
2751.答案 21/5
2752.答案 16/5
2753.答案 331/84
2754.答案 40/7
2755.答案 2
2756.答案 43/2
2757.答案 256/5
2758.答案 7/3
2759.答案 1/2
2760.答案 99/16
2761.答案 37/63
2762.答案 37/15
2763.答案 85/3
2764.答案 5
2765.答案 46/5
2766.答案 139/2
2767.答案 73/48
2768.答案 104/7
2769.答案 29/14
2770.答案 134/9
2771.答案 21/2
2772.答案 100
2773.答案 2
2774.答案 67
2775.答案 25/9
2776.答案 482/63
2777.答案 3/4
2778.答案 199/6
2779.答案 31/8
2780.答案 71/324
2781.答案 36
2782.答案 32/105
2783.答案 8/5
2784.答案 67/20
2785.答案 78/5
2786.答案 11
2787.答案 9/10
2788.答案 44/3
2789.答案 9
2790.答案 181/35
2791.答案 65/9
2792.答案 1/6
2793.答案 45/2
2794.答案 81/8
2795.答案 41/6
2796.答案 17/2
2797.答案 5/3
2798.答案 325/48
2799.答案 13/7
2800.答案 253/15
2801.答案 41/45
2802.答案 784
2803.答案 83/135
2804.答案 23/6
2805.答案 27
2806.答案 19/5
2807.答案 7
2808.答案 48/5
2809.答案 97/8
2810.答案 3/2
2811.答案 19/2
2812.答案 31/5
2813.答案 21
2814.答案 32/5
2815.答案 67/63
2816.答案 3
2817.答案 232/5
2818.答案 89/140
2819.答案 37/6
2820.答案 31/3
2821.答案 256/63
2822.答案 10/3
2823.答案 10/3
2824.答案 101/5
2825.答案 1/3
2826.答案 376/49
2827.答案 1/20
2828.答案 5/36
2829.答案 267/7
2830.答案 99/28
2831.答案 113/9
2832.答案 697/72
2833.答案 14/3
2834.答案 233/40
2835.答案 4
2836.答案 27/14
2837.答案 127/135
2838.答案 29
2839.答案 199/21
2840.答案 13/9
2841.答案 76/35
2842.答案 644/5
2843.答案 5
2844.答案 68/63
2845.答案 29/24
2846.答案 47/4
2847.答案 217/36
2848.答案 23/4
2849.答案 86/21
2850.答案 171/40
2851.答案 39/8
2852.答案 16
2853.答案 214/21
2854.答案 22/5
2855.答案 46/7
2856.答案 29/3
2857.答案 467/144
2858.答案 72/7
2859.答案 3
2860.答案 269/105
2861.答案 6
2862.答案 2/9
2863.答案 5/8
2864.答案 35/24
2865.答案 1/12
2866.答案 7/9
2867.答案 18
2868.答案 4/7
2869.答案 3/7
2870.答案 19/16
2871.答案 1/2
2872.答案 1/9
2873.答案 7
2874.答案 2
2875.答案 67/84
2876.答案 1/8
2877.答案 73/8
2878.答案 25/144
2879.答案 78/5
2880.答案 193/24
2881.答案 15
2882.答案 54/7
2883.答案 205/42
2884.答案 23/12
2885.答案 65/3
2886.答案 486/7
2887.答案 61/7
2888.答案 9/4
2889.答案 424/35
2890.答案 31/2
2891.答案 145/4
2892.答案 14/3
2893.答案 8/3
2894.答案 7/24
2895.答案 5
2896.答案 43
2897.答案 15/2
2898.答案 277/126
2899.答案 123/14
2900.答案 0
2901.答案 368/9
2902.答案 17/9
2903.答案 317/3
2904.答案 64/9
2905.答案 11
2906.答案 1/12
2907.答案 103/15
2908.答案 7/2
2909.答案 29/6
2910.答案 176/9
2911.答案 41/4
2912.答案 1
2913.答案 20/49
2914.答案 16/3
2915.答案 347/14
2916.答案 151/45
2917.答案 49/18
2918.答案 2
2919.答案 2/15
2920.答案 46/45
2921.答案 3
2922.答案 5/36
2923.答案 13
2924.答案 196/5
2925.答案 8/3
2926.答案 15/2
2927.答案 70/9
2928.答案 9/4
2929.答案 181/216
2930.答案 26/5
2931.答案 184/3
2932.答案 1/15
2933.答案 31/4
2934.答案 7/6
2935.答案 4/21
2936.答案 109/54
2937.答案 154/15
2938.答案 193/21
2939.答案 31/7
2940.答案 5/6
2941.答案 35/4
2942.答案 67/28
2943.答案 121/18
2944.答案 111/5
2945.答案 49/4
2946.答案 141/70
2947.答案 10
2948.答案 8
2949.答案 16/5
2950.答案 9/2
2951.答案 24/49
2952.答案 5/9
2953.答案 7/36
2954.答案 55/14
2955.答案 63/5
2956.答案 98
2957.答案 7/6
2958.答案 176/15
2959.答案 104/7
2960.答案 74/9
2961.答案 5
2962.答案 141/5
2963.答案 34/5
2964.答案 222/35
2965.答案 217/6
2966.答案 48/5
2967.答案 35/72
2968.答案 65/14
2969.答案 48
2970.答案 67/7
2971.答案 55
2972.答案 9/5
2973.答案 15/4
2974.答案 194/21
2975.答案 11/2
2976.答案 41/6
2977.答案 271/15
2978.答案 1
2979.答案 1261/315
2980.答案 496/7
2981.答案 101/40
2982.答案 127/12
2983.答案 1/3
2984.答案 29/2
2985.答案 28/27
2986.答案 499/36
2987.答案 38
2988.答案 9/256
2989.答案 27/16
2990.答案 2/45
2991.答案 49/18
2992.答案 3/2
2993.答案 199/27
2994.答案 91/10
2995.答案 5/28
2996.答案 2351/360
2997.答案 29/36
2998.答案 8
